,re_dist,le_dist,rw_dist,lw_dist,rs_dist,ls_dist,label
0,566.0549297354129,610.8599433131169,624.0193938459374,684.5178781680452,289.0015706095687,336.69246134117225,buy
0,584.6834704212571,602.0846799090558,628.0406389521764,699.2309033468229,307.14545186956025,326.08285563200803,buy
0,589.3703857362966,610.3275145291809,628.7833798323128,699.0417996229476,317.60571989373005,325.610466431059,buy
0,569.4645899204904,607.1626236275029,610.2375231531299,678.9426301907116,285.3937192550888,335.10170020789485,buy
0,553.8118265382528,610.7737629388573,514.572455760384,683.6398299748925,275.60626362563585,339.22448795659636,buy
0,443.434583986507,585.6436396881304,647.5739223781675,679.0307515473667,256.8081744700415,328.9895542214667,buy
0,444.8090499893341,595.254270061265,674.6967768194046,687.0591516672478,267.79276451807436,333.4559122320819,buy
0,449.6120203388119,593.8789688894631,698.9486997707572,686.2172005326156,268.7066995384919,332.3430120682379,buy
0,477.4210117737605,594.466949442034,539.5395231689133,690.7500733992911,265.06774345864187,335.4252528308009,buy
0,598.9057147887252,616.3241173853111,543.6088579714879,688.6890229157715,283.19475584344605,336.8902900223267,buy
0,583.0155690543809,616.5902034834086,619.9493011742503,682.1014515525238,289.28935238625155,342.57923960092165,buy
0,574.4464872532488,599.7621273484997,634.8224530065553,689.8688655534728,282.8515342961289,342.69787961611826,buy
0,575.2638180960265,623.8278583206878,630.2375322030231,690.3249814487084,283.2848391678725,342.86448523279984,buy
0,581.4614460279519,604.1455661779029,631.8371296439116,695.9505080338587,289.0404413044588,345.9151130574948,buy
0,601.0249460883819,602.5997537424499,563.3532201152518,684.8801549131323,285.1251940014865,342.21584188215934,buy
0,469.11377821622557,602.5865364747721,558.0696623162087,685.4593804783385,276.2827041450488,344.32245559101403,buy
0,448.00304721581404,601.4368087294338,673.8044128174237,683.0997738337971,255.37939267981614,337.21987577132984,buy
0,469.3746526344399,607.5547247473071,712.7342343342234,692.3577494055113,275.0810882340219,338.06202498903923,buy
0,463.28417284626704,607.4940670111262,697.8460383215686,691.3394634487961,270.62797719247123,343.47301062626167,buy
0,468.4569121725705,609.346608549754,542.4972782533953,696.057046550572,283.48678774432227,342.86861567221683,buy
0,609.703080309682,612.3435001398315,546.0063689471376,694.1674566646464,284.5056244672017,346.6253657961714,buy
0,576.8681134660864,612.7692528987874,608.5376580003851,696.229227203572,287.1842760454005,347.1035382441042,buy
0,565.7825308994057,613.3674028531616,620.8212336288768,697.7705266994179,283.3231094393012,348.01423341678515,buy
0,568.4495383017578,613.481980789813,618.6486897534439,697.7013650643647,283.71513182368346,349.02036805095213,buy
0,569.473077302852,607.2476451736377,615.7709349136948,695.9590633108639,284.3702910364155,348.5576803411124,buy
0,567.8174452412053,610.9256149990729,614.4769350806336,691.8967265963134,282.7582910397825,347.31488514002984,buy
0,580.0380455736051,609.6529036337494,598.9559820598165,693.6100810425002,284.6630247586365,345.2407533866896,buy
0,467.9129211764666,607.7655186159211,537.0576448984391,690.7349128573433,274.111751959655,345.27776983257047,buy
0,431.54443208594193,604.8186674313124,676.7449416563137,687.9565209623396,266.414971778781,334.6379963788552,buy
0,451.37506525073843,596.1009127205717,686.4417746205489,686.107930182709,268.3808757081617,335.49501803915314,buy
0,409.4128491593508,548.2718177039965,450.7442615047335,566.5906957348507,260.34385604847375,294.93010393374914,buy
0,404.32807820570235,545.1495917902643,462.35761026044304,563.0755068156512,254.73133392373254,289.4590106744502,buy
0,477.99188888943974,542.6974210780527,443.80626755272306,561.8016389266216,260.0554158041575,285.10746706951704,buy
0,519.2856224313394,543.434103745671,436.4119536666898,565.0417544160244,265.65179666788623,287.71271137471155,buy
0,518.8307788515643,542.8821405421273,454.34565766470786,557.7817982382568,260.412519230433,291.59382831129585,buy
0,534.2699398094396,546.2862797664008,485.7611368260195,557.4058156740563,273.44983435674106,288.23580853387057,buy
0,520.281843042769,548.7255810350442,487.27076911641257,558.2910902322002,264.58394154545476,293.22499999015315,buy
0,531.8214840512633,539.3495865001765,460.55830542196367,558.138489900545,281.01449287992534,276.43771381908573,buy
0,526.247278147135,547.7805902978312,427.5375158245076,564.6468299441473,266.9185879024858,288.50928503335643,buy
0,469.61290444545375,533.1505305927054,429.93103304671035,554.1015352497511,272.2952595874234,275.39775564580407,buy
0,400.74043700598713,532.7750151969315,460.5787946656924,555.6020874519568,265.8863701976535,277.9681144939265,buy
0,475.9616811477344,538.3517619234518,458.08246174566193,558.5042920723415,260.12050866381554,287.1793686929928,buy
0,542.0107112983691,544.5676461537107,421.374779357479,563.3664893526357,271.1836277251563,288.21144334219315,buy
0,528.1093419949675,546.5368979574183,423.3330856163666,561.9554994129611,274.7906507147782,289.36844554957236,buy
0,533.261341879391,533.0549309666294,478.3086211752196,545.3199456345455,273.16875480810637,274.1008986666775,buy
0,526.7772607639637,536.609338864839,489.8702713681038,539.7897119549796,273.07681807127784,273.2932305787987,buy
0,520.6857122352375,547.2159582155133,480.5024869269119,550.4086425416581,265.5134864474738,291.84991043100683,buy
0,521.8886442561866,543.2880761647225,456.5744337582542,548.858116662004,265.9837099288272,287.6449150112583,buy
0,501.19073477394755,541.7841019131075,448.80182701381034,548.6324264358508,264.42995893907397,286.11215025797844,buy
0,475.4546369952332,539.6545228523314,460.4453317971178,545.7644962877235,264.17869898193345,284.89902854759697,buy
0,383.86405664452445,539.8449273682002,443.5709507010631,547.0227356699622,268.1097113321147,284.0067457360328,buy
0,403.24389714546965,542.5375575894394,461.4515132782255,550.108713038075,262.31956754791787,283.76289289620564,buy
0,420.4071601217256,542.3990008788444,459.8907642846485,554.1400150665943,260.28582720595875,285.6163195490935,buy
0,509.5375653730993,543.6814976176569,443.5963383251462,553.0083473362903,270.908617055239,285.2377151952571,buy
0,520.6669938221012,542.3653988381004,428.9890720797687,550.8255048038343,267.5844401373796,284.8809113485407,buy
0,533.3780861796585,538.5916195803618,462.0889790555736,555.0158703295908,267.55856747952504,287.941395008161,buy
0,533.3818677971672,540.732732266097,489.69438665772776,555.9240628161796,266.5088906433997,286.5999485842934,buy
0,533.1828184763499,536.5894819274594,495.1127644171159,552.6397518233229,264.51031961530026,286.8560301376676,buy
0,532.0411292244688,542.2228743443869,495.54118187232353,552.4992455284544,265.15616698236687,287.1280865547353,buy
0,534.1199759263718,537.9292007946342,489.88418403038645,554.2860394651094,263.45996173717884,285.12670091171015,buy
0,499.0580621913845,487.04715331605337,452.36763810141287,483.0202918582071,259.766413780213,261.4160328953262,buy
0,489.69834374783323,487.5619259392176,390.63271474569495,484.9016260092959,259.22588757541104,263.729068457083,buy
0,491.7064337278593,489.95226512574357,254.19656849310607,482.338214856373,251.05260347019168,257.4501730562768,buy
0,441.23035027802104,483.60528542269134,216.65635379189078,476.045391468036,242.90018702934293,253.0894845512415,buy
0,421.52383505686447,482.6787470677597,259.9824506898039,476.53473345121375,236.77566462643196,260.45668167732236,buy
0,440.1514106751677,475.3933823891384,316.74421367984263,474.88107715055617,259.44908112656054,254.78562536334616,buy
0,458.24354058910245,475.1853123126768,284.26559310697894,473.309356197582,252.55201416787492,254.59584927372168,buy
0,471.0308108308281,476.1035581135275,267.9841776967257,472.37430791107784,255.9076909258676,250.58016597165334,buy
0,498.7606502904804,476.1386845816168,263.7599944738894,475.44693412010525,251.75574784039634,253.76061619919614,buy
0,465.1448791686338,475.08683344273294,304.971041216835,474.18762338787167,262.0372395467999,255.0737825544913,buy
0,469.3357453534754,477.429227461291,386.1689806020579,476.8653370351495,263.6456136940353,252.63592411929608,buy
0,494.9176733743205,479.06558767961354,420.8587658313501,476.82837082437845,265.1489946684706,250.85149578030138,buy
0,491.63830426601896,479.5585225461697,430.7520044786594,478.7988169788388,261.9648125038696,253.4044858490657,buy
0,468.040054059088,478.27656322401,409.5211830168812,470.0563820449791,265.61258014542193,257.46052689639413,buy
0,467.83774307569144,474.86308405657746,353.4377204341383,467.560720318131,271.49531055555934,258.0033670758004,buy
0,496.7745800542581,471.8226116055387,270.44404174481446,468.3809080448025,271.78724381791113,257.8938142860687,buy
0,439.7339357833505,488.4174819694592,263.8065723270026,469.08529024656167,238.40928620325428,266.0294551251871,buy
0,417.35355226581623,488.1760886028226,321.4773608936737,472.4565996890455,254.25533996461195,265.36595617803476,buy
0,421.2192929816666,489.66728294119474,348.4190059419047,480.50496936894257,265.95330785410044,269.45634047024714,buy
0,437.99717852389193,491.7675179268065,318.3713968866522,480.4550776068198,245.78374769058098,268.16594399530396,buy
0,480.629205774808,493.14650365569827,279.43159945480096,480.7847849378747,259.2952259259858,267.74215937450526,buy
0,475.00579836701104,481.69397055495705,337.6779604892413,474.5356263209365,275.15309525094614,256.7897243144741,buy
0,474.75080290015666,477.31771701843275,410.3043013923902,472.56034836864035,264.10742102872854,258.95636414238425,buy
0,491.04141834376327,481.2047868210782,437.09612409821983,472.28298223581794,265.9049325305223,258.52446050571433,buy
0,493.77779584160623,482.2244056119362,431.13347227662996,469.0952452025402,262.41964324999174,258.05666048529855,buy
0,496.05742163033113,482.60737397515993,425.04258613681395,470.6885026117509,275.3456864445821,256.8570438517729,buy
0,472.09050483375563,482.60450481089305,385.9142680254118,479.97802760047256,282.562615243991,257.3212642082469,buy
0,491.63543992322127,486.0810825136041,292.1974617053624,475.3854169983508,265.61058143667606,257.3448104508127,buy
0,437.39293913234553,496.37861916718003,279.7683796162305,479.7878497377065,240.39306667654358,263.3544046441583,buy
0,428.1514174253217,496.678511135782,326.9310212245542,482.0050648898225,252.47937600947338,262.98017304323827,buy
0,490.2315655782389,458.4038179902445,350.80691896983495,412.67184222349636,260.2103235518821,242.35453779424788,buy
0,482.1594566564996,449.9199875262957,346.85119022084,403.33305724095163,265.3026594991075,235.01803891778485,buy
0,491.2160680403235,452.76288925210184,374.4978617290813,405.82438293051337,268.7932445476194,242.1721436926761,buy
0,485.44826949824454,467.30091391859213,366.9623023905864,409.11170221112576,257.0250315262807,241.2306382313717,buy
0,493.19561240259566,462.3653035873722,376.07976362858034,401.6688968615066,263.3244620843307,233.74703476956506,buy
0,485.00081738059095,463.9828321323686,337.509434294419,402.81002483650263,261.57758376375966,241.68616425669768,buy
0,483.6315275258173,470.5462528786554,352.0193705866613,405.76875579028064,257.9563586951473,254.19146873301415,buy
0,475.9741454903614,469.16949874535067,337.41682074473584,401.77564809274367,258.93941836812945,239.29066326531026,buy
0,475.2939164622683,457.51578366147663,335.8354697606219,399.73797813969554,256.66695214811085,245.8733630101312,buy
0,473.6415968551872,456.2938534423927,336.8868995350012,391.3058580068163,257.35875454826623,231.66427358754714,buy
0,471.55362602383263,457.0023088748541,339.6323175150985,396.45784549206263,264.65862924655573,233.24626104221818,buy
0,483.2415072091521,453.69352701906126,352.9762931318217,396.5685226408679,257.0957678192605,244.10567518672363,buy
0,483.55814235320275,456.024827002921,367.92545317287363,400.91620950100224,245.6005355587257,245.59085883598024,buy
0,479.6365066639942,457.7872663328934,366.02966566499344,399.4601056203984,255.21484913057753,243.59624726025083,buy
